ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-08-29,578.5363686411412,523.3224177312554,612.4904063720173,578.5363686411412,578.5363686411412,-9.276227400083277,-9.276227400083277,-9.276227400083277,-9.276227400083277,-9.276227400083277,-9.276227400083277,0.0,0.0,0.0,569.2601412410579
2019-08-30,578.422715990991,523.723519879285,614.0985583457543,578.422715990991,578.422715990991,-9.394098930891188,-9.394098930891188,-9.394098930891188,-9.394098930891188,-9.394098930891188,-9.394098930891188,0.0,0.0,0.0,569.0286170600998
2019-09-02,578.0817580405405,527.2944793310932,615.2622888013074,578.0817580405405,578.0817580405405,-9.221470808316779,-9.221470808316779,-9.221470808316779,-9.221470808316779,-9.221470808316779,-9.221470808316779,0.0,0.0,0.0,568.8602872322238
2019-09-03,578.235893445946,525.6453628741589,611.5366720858962,578.235893445946,578.235893445946,-10.175177444068948,-10.175177444068948,-10.175177444068948,-10.175177444068948,-10.175177444068948,-10.175177444068948,0.0,0.0,0.0,568.060716001877
2019-09-04,578.3900288513514,527.2940905381953,614.7597226428875,578.3900288513514,578.3900288513514,-9.413089131712853,-9.413089131712853,-9.413089131712853,-9.413089131712853,-9.413089131712853,-9.413089131712853,0.0,0.0,0.0,568.9769397196386
2019-09-05,578.5441642567567,528.0092646357995,613.2223845977853,578.5441642567567,578.5441642567567,-9.276227399979936,-9.276227399979936,-9.276227399979936,-9.276227399979936,-9.276227399979936,-9.276227399979936,0.0,0.0,0.0,569.2679368567768
2019-09-06,578.6982996621622,525.2711091712733,612.1305001123499,578.6982996621622,578.6982996621622,-9.394098930866589,-9.394098930866589,-9.394098930866589,-9.394098930866589,-9.394098930866589,-9.394098930866589,0.0,0.0,0.0,569.3042007312956
2019-09-09,579.1607058783784,527.2027805327067,612.0068801458929,579.1607058783784,579.1607058783784,-9.221470808338257,-9.221470808338257,-9.221470808338257,-9.221470808338257,-9.221470808338257,-9.221470808338257,0.0,0.0,0.0,569.9392350700401
2019-09-10,579.3148412837838,526.0516376088394,612.9096068032601,579.3148412837838,579.3148412837838,-10.17517744400735,-10.17517744400735,-10.17517744400735,-10.17517744400735,-10.17517744400735,-10.17517744400735,0.0,0.0,0.0,569.1396638397765
2019-09-11,579.4689766891893,526.0697415467974,613.0369145594481,579.4689766891893,579.4689766891893,-9.413089131781208,-9.413089131781208,-9.413089131781208,-9.413089131781208,-9.413089131781208,-9.413089131781208,0.0,0.0,0.0,570.055887557408
2019-09-12,579.6231120945946,524.9264219186311,612.2976309422831,579.6231120945946,579.6231120945946,-9.27622740001636,-9.27622740001636,-9.27622740001636,-9.27622740001636,-9.27622740001636,-9.27622740001636,0.0,0.0,0.0,570.3468846945782
2019-09-13,579.7772475,525.6672669273339,614.5243500548421,579.7772475,579.7772475,-9.394098930841995,-9.394098930841995,-9.394098930841995,-9.394098930841995,-9.394098930841995,-9.394098930841995,0.0,0.0,0.0,570.383148569158
2019-09-16,580.2396537162163,530.4761208047365,613.5458344601219,580.2396537162163,580.2396537162163,-9.221470808316097,-9.221470808316097,-9.221470808316097,-9.221470808316097,-9.221470808316097,-9.221470808316097,0.0,0.0,0.0,571.0181829079002
2019-09-17,580.3937891216217,530.1043861648793,614.168525824921,580.3937891216217,580.3937891216217,-10.175177444025364,-10.175177444025364,-10.175177444025364,-10.175177444025364,-10.175177444025364,-10.175177444025364,0.0,0.0,0.0,570.2186116775963
2019-09-18,580.547924527027,522.6460285140182,615.0483889496588,580.547924527027,580.547924527027,-9.413089131746244,-9.413089131746244,-9.413089131746244,-9.413089131746244,-9.413089131746244,-9.413089131746244,0.0,0.0,0.0,571.1348353952808
2019-09-19,580.7020599324325,532.0490254039846,614.7103792441427,580.7020599324325,580.7020599324325,-9.276227399947015,-9.276227399947015,-9.276227399947015,-9.276227399947015,-9.276227399947015,-9.276227399947015,0.0,0.0,0.0,571.4258325324854
2019-09-20,580.8561953378379,527.4729996790566,616.048268247472,580.8561953378379,580.8561953378379,-9.394098930817398,-9.394098930817398,-9.394098930817398,-9.394098930817398,-9.394098930817398,-9.394098930817398,0.0,0.0,0.0,571.4620964070205
2019-09-23,581.3186015540541,529.7982102066743,611.0010383972699,581.3186015540541,581.3186015540541,-9.22147080833757,-9.22147080833757,-9.22147080833757,-9.22147080833757,-9.22147080833757,-9.22147080833757,0.0,0.0,0.0,572.0971307457165
2019-09-24,581.4727369594594,525.2136665286814,614.6349157218871,581.4727369594594,581.4727369594594,-10.17517744404417,-10.17517744404417,-10.17517744404417,-10.17517744404417,-10.17517744404417,-10.17517744404417,0.0,0.0,0.0,571.2975595154153
2019-09-25,581.6268723648649,528.5543608646167,615.7880475451491,581.6268723648649,581.6268723648649,-9.413089131711278,-9.413089131711278,-9.413089131711278,-9.413089131711278,-9.413089131711278,-9.413089131711278,0.0,0.0,0.0,572.2137832331535
2019-09-26,581.7810077702703,529.3999319988856,618.3653398346188,581.7810077702703,581.7810077702703,-9.276227400055209,-9.276227400055209,-9.276227400055209,-9.276227400055209,-9.276227400055209,-9.276227400055209,0.0,0.0,0.0,572.5047803702151
2019-09-27,581.9351431756756,527.2761357426215,616.4400465974263,581.9351431756756,581.9351431756756,-9.394098930893096,-9.394098930893096,-9.394098930893096,-9.394098930893096,-9.394098930893096,-9.394098930893096,0.0,0.0,0.0,572.5410442447826
2019-09-30,582.397549391892,532.3527527424524,617.7813732493693,582.397549391892,582.397549391892,-9.221470808400616,-9.221470808400616,-9.221470808400616,-9.221470808400616,-9.221470808400616,-9.221470808400616,0.0,0.0,0.0,573.1760785834914
2019-10-01,582.5516847972973,528.3603915903418,619.6018067911981,582.5516847972973,582.5516847972973,-10.175177444062971,-10.175177444062971,-10.175177444062971,-10.175177444062971,-10.175177444062971,-10.175177444062971,0.0,0.0,0.0,572.3765073532343
2019-10-02,582.7058202027027,530.4839620962506,615.3544921698682,582.7058202027027,582.7058202027027,-9.413089131707828,-9.413089131707828,-9.413089131707828,-9.413089131707828,-9.413089131707828,-9.413089131707828,0.0,0.0,0.0,573.2927310709949
2019-10-03,582.8599556081082,531.5525351976464,620.3741569419543,582.8599556081082,582.8599556081082,-9.276227399985864,-9.276227399985864,-9.276227399985864,-9.276227399985864,-9.276227399985864,-9.276227399985864,0.0,0.0,0.0,573.5837282081224
